time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-03 00:00:00+00:00,19,8,2,2
2026-02-04 00:00:00+00:00,7,4,0,0
2026-02-05 00:00:00+00:00,9,6,0,0
2026-02-06 00:00:00+00:00,15,8,2,2
2026-02-07 00:00:00+00:00,7,4,0,0
2026-02-08 00:00:00+00:00,16,9,0,0
2026-02-09 00:00:00+00:00,18,7,5,1
2026-02-10 00:00:00+00:00,8,5,1,1
2026-02-11 00:00:00+00:00,23,8,1,1
2026-02-12 00:00:00+00:00,15,8,0,0
2026-02-13 00:00:00+00:00,7,4,0,0
2026-02-14 00:00:00+00:00,7,3,3,1
2026-02-15 00:00:00+00:00,13,9,1,1
2026-02-16 00:00:00+00:00,8,5,12,2
