time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-06 00:00:00+00:00,17,8,5,2
2026-07-07 00:00:00+00:00,38,13,0,0
2026-07-08 00:00:00+00:00,6,3,0,0
2026-07-09 00:00:00+00:00,2,2,2,2
2026-07-10 00:00:00+00:00,16,7,0,0
2026-07-11 00:00:00+00:00,12,4,14,1
2026-07-12 00:00:00+00:00,16,6,2,1
2026-07-13 00:00:00+00:00,16,7,0,0
2026-07-14 00:00:00+00:00,19,5,0,0
2026-07-15 00:00:00+00:00,16,7,1,1
2026-07-16 00:00:00+00:00,28,10,0,0
2026-07-17 00:00:00+00:00,21,8,1,1
2026-07-18 00:00:00+00:00,18,7,1,1
2026-07-19 00:00:00+00:00,10,5,0,0
